JobID|State|ExitCode|Elapsed|AllocCPUS|NodeList
2048456_0|COMPLETED|0:0|00:54:01|4|g15
2048456_0.batch|COMPLETED|0:0|00:54:01|4|g15
2048456_0.extern|COMPLETED|0:0|00:54:01|4|g15
2048456_1|COMPLETED|0:0|00:58:49|4|g6
2048456_1.batch|COMPLETED|0:0|00:58:49|4|g6
2048456_1.extern|COMPLETED|0:0|00:58:49|4|g6
2048456_2|COMPLETED|0:0|00:57:07|4|g6
2048456_2.batch|COMPLETED|0:0|00:57:07|4|g6
2048456_2.extern|COMPLETED|0:0|00:57:07|4|g6
2048456_3|COMPLETED|0:0|00:40:08|4|g19
2048456_3.batch|COMPLETED|0:0|00:40:08|4|g19
2048456_3.extern|COMPLETED|0:0|00:40:08|4|g19
2048456_4|COMPLETED|0:0|02:51:40|4|g19
2048456_4.batch|COMPLETED|0:0|02:51:40|4|g19
2048456_4.extern|COMPLETED|0:0|02:51:40|4|g19
2048456_5|COMPLETED|0:0|02:26:53|4|g19
2048456_5.batch|COMPLETED|0:0|02:26:53|4|g19
2048456_5.extern|COMPLETED|0:0|02:26:53|4|g19
2048456_6|COMPLETED|0:0|02:23:22|4|g19
2048456_6.batch|COMPLETED|0:0|02:23:22|4|g19
2048456_6.extern|COMPLETED|0:0|02:23:22|4|g19
2048456_7|COMPLETED|0:0|02:58:16|4|g15
2048456_7.batch|COMPLETED|0:0|02:58:16|4|g15
2048456_7.extern|COMPLETED|0:0|02:58:16|4|g15
2048456_8|COMPLETED|0:0|04:06:29|4|g6
2048456_8.batch|COMPLETED|0:0|04:06:29|4|g6
2048456_8.extern|COMPLETED|0:0|04:06:29|4|g6
2048456_9|COMPLETED|0:0|04:23:01|4|g6
2048456_9.batch|COMPLETED|0:0|04:23:01|4|g6
2048456_9.extern|COMPLETED|0:0|04:23:01|4|g6
2048456_10|COMPLETED|0:0|03:00:16|4|g19
2048456_10.batch|COMPLETED|0:0|03:00:16|4|g19
2048456_10.extern|COMPLETED|0:0|03:00:16|4|g19
2048456_11|COMPLETED|0:0|03:50:09|4|g14
2048456_11.batch|COMPLETED|0:0|03:50:09|4|g14
2048456_11.extern|COMPLETED|0:0|03:50:09|4|g14
2048456_12|COMPLETED|0:0|00:38:58|4|g19
2048456_12.batch|COMPLETED|0:0|00:38:58|4|g19
2048456_12.extern|COMPLETED|0:0|00:38:58|4|g19
2048456_13|COMPLETED|0:0|00:38:28|4|g19
2048456_13.batch|COMPLETED|0:0|00:38:28|4|g19
2048456_13.extern|COMPLETED|0:0|00:38:28|4|g19
2048456_14|COMPLETED|0:0|00:56:44|4|g15
2048456_14.batch|COMPLETED|0:0|00:56:44|4|g15
2048456_14.extern|COMPLETED|0:0|00:56:44|4|g15
2048456_15|COMPLETED|0:0|00:38:12|4|g19
2048456_15.batch|COMPLETED|0:0|00:38:12|4|g19
2048456_15.extern|COMPLETED|0:0|00:38:12|4|g19
2048456_16|COMPLETED|0:0|02:57:13|4|g15
2048456_16.batch|COMPLETED|0:0|02:57:13|4|g15
2048456_16.extern|COMPLETED|0:0|02:57:13|4|g15
2048456_17|COMPLETED|0:0|02:25:16|4|g19
2048456_17.batch|COMPLETED|0:0|02:25:16|4|g19
2048456_17.extern|COMPLETED|0:0|02:25:16|4|g19
2048456_18|COMPLETED|0:0|02:54:29|4|g6
2048456_18.batch|COMPLETED|0:0|02:54:29|4|g6
2048456_18.extern|COMPLETED|0:0|02:54:29|4|g6
2048456_19|COMPLETED|0:0|02:58:30|4|g14
2048456_19.batch|COMPLETED|0:0|02:58:30|4|g14
2048456_19.extern|COMPLETED|0:0|02:58:30|4|g14
2048456_20|COMPLETED|0:0|03:03:30|4|g19
2048456_20.batch|COMPLETED|0:0|03:03:30|4|g19
2048456_20.extern|COMPLETED|0:0|03:03:31|4|g19
2048456_21|COMPLETED|0:0|03:33:46|4|g14
2048456_21.batch|COMPLETED|0:0|03:33:46|4|g14
2048456_21.extern|COMPLETED|0:0|03:33:46|4|g14
2048456_22|COMPLETED|0:0|02:50:07|4|g19
2048456_22.batch|COMPLETED|0:0|02:50:07|4|g19
2048456_22.extern|COMPLETED|0:0|02:50:07|4|g19
2048456_23|COMPLETED|0:0|03:46:03|4|g15
2048456_23.batch|COMPLETED|0:0|03:46:03|4|g15
2048456_23.extern|COMPLETED|0:0|03:46:03|4|g15
