JobID|JobName|State|ExitCode|Elapsed|NodeList|AllocCPUS|ReqTRES|AllocTRES
2089072_0|calvin_l2fresh|COMPLETED|0:0|00:35:43|g22|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_0.batch|batch|COMPLETED|0:0|00:35:43|g22|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_0.extern|extern|COMPLETED|0:0|00:35:44|g22|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_1|calvin_l2fresh|COMPLETED|0:0|00:31:47|g21|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_1.batch|batch|COMPLETED|0:0|00:31:47|g21|4||cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,mem=0,node=1
2089072_1.extern|extern|COMPLETED|0:0|00:31:47|g21|4||billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_2|calvin_l2fresh|COMPLETED|0:0|00:54:56|g14|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_2.batch|batch|COMPLETED|0:0|00:54:56|g14|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_2.extern|extern|COMPLETED|0:0|00:54:56|g14|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_3|calvin_l2fresh|COMPLETED|0:0|00:34:04|g22|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_3.batch|batch|COMPLETED|0:0|00:34:04|g22|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_3.extern|extern|COMPLETED|0:0|00:34:04|g22|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_4|calvin_l2fresh|COMPLETED|0:0|02:50:48|g6|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_4.batch|batch|COMPLETED|0:0|02:50:48|g6|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_4.extern|extern|COMPLETED|0:0|02:50:48|g6|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_5|calvin_l2fresh|COMPLETED|0:0|02:49:57|g6|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_5.batch|batch|COMPLETED|0:0|02:49:57|g6|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_5.extern|extern|COMPLETED|0:0|02:49:57|g6|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_6|calvin_l2fresh|COMPLETED|0:0|02:15:57|g22|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_6.batch|batch|COMPLETED|0:0|02:15:57|g22|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_6.extern|extern|COMPLETED|0:0|02:15:57|g22|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_7|calvin_l2fresh|COMPLETED|0:0|01:36:42|g21|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_7.batch|batch|COMPLETED|0:0|01:36:42|g21|4||cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,mem=0,node=1
2089072_7.extern|extern|COMPLETED|0:0|01:36:42|g21|4||billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_8|calvin_l2fresh|COMPLETED|0:0|02:05:49|g21|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_8.batch|batch|COMPLETED|0:0|02:05:49|g21|4||cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,mem=0,node=1
2089072_8.extern|extern|COMPLETED|0:0|02:05:49|g21|4||billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_9|calvin_l2fresh|COMPLETED|0:0|03:36:28|g14|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_9.batch|batch|COMPLETED|0:0|03:36:28|g14|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_9.extern|extern|COMPLETED|0:0|03:36:28|g14|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_10|calvin_l2fresh|COMPLETED|0:0|03:45:23|g15|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_10.batch|batch|COMPLETED|0:0|03:45:23|g15|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_10.extern|extern|COMPLETED|0:0|03:45:23|g15|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_11|calvin_l2fresh|COMPLETED|0:0|03:36:27|g15|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_11.batch|batch|COMPLETED|0:0|03:36:27|g15|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_11.extern|extern|COMPLETED|0:0|03:36:27|g15|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_12|calvin_l2fresh|COMPLETED|0:0|00:29:41|g21|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_12.batch|batch|COMPLETED|0:0|00:29:41|g21|4||cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,mem=0,node=1
2089072_12.extern|extern|COMPLETED|0:0|00:29:41|g21|4||billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_13|calvin_l2fresh|COMPLETED|0:0|01:00:42|g6|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_13.batch|batch|COMPLETED|0:0|01:00:42|g6|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_13.extern|extern|COMPLETED|0:0|01:00:42|g6|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_14|calvin_l2fresh|COMPLETED|0:0|00:57:55|g6|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_14.batch|batch|COMPLETED|0:0|00:57:55|g6|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
2089072_14.extern|extern|COMPLETED|0:0|00:57:55|g6|4||billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_15|calvin_l2fresh|COMPLETED|0:0|00:27:38|g21|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_15.batch|batch|COMPLETED|0:0|00:27:38|g21|4||cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,mem=0,node=1
2089072_15.extern|extern|COMPLETED|0:0|00:27:38|g21|4||billing=4,cpu=4,gres/gpu:nvidia_l40s=1,gres/gpu=1,node=1
2089072_16|calvin_l2fresh|COMPLETED|0:0|02:31:12|g19|4|billing=4,cpu=4,gres/gpu=1,mem=160G,node=1|billing=4,cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,node=1
2089072_16.batch|batch|COMPLETED|0:0|02:31:12|g19|4||cpu=4,gres/gpu:nvidia_rtx_a6000=1,gres/gpu=1,mem=0,node=1
