0/250: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
1/250: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
2/250: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
3/250: 1.000 | 1.000 | 0.750 | 0.750 | 0.750 | 
4/250: 1.000 | 1.000 | 0.800 | 0.800 | 0.800 | 
5/250: 1.000 | 0.833 | 0.667 | 0.667 | 0.667 | 
6/250: 1.000 | 0.714 | 0.571 | 0.571 | 0.571 | 
7/250: 0.875 | 0.625 | 0.500 | 0.500 | 0.500 | 
8/250: 0.889 | 0.667 | 0.556 | 0.556 | 0.556 | 
9/250: 0.900 | 0.600 | 0.500 | 0.500 | 0.500 | 
10/250: 0.909 | 0.636 | 0.545 | 0.545 | 0.545 | 
11/250: 0.917 | 0.667 | 0.583 | 0.500 | 0.500 | 
12/250: 0.923 | 0.692 | 0.615 | 0.538 | 0.538 | 
13/250: 0.929 | 0.714 | 0.643 | 0.571 | 0.571 | 
14/250: 0.933 | 0.733 | 0.667 | 0.600 | 0.533 | 
15/250: 0.938 | 0.750 | 0.688 | 0.625 | 0.562 | 
16/250: 0.882 | 0.706 | 0.647 | 0.588 | 0.529 | 
17/250: 0.889 | 0.722 | 0.611 | 0.556 | 0.500 | 
18/250: 0.895 | 0.737 | 0.632 | 0.579 | 0.474 | 
19/250: 0.900 | 0.750 | 0.650 | 0.600 | 0.500 | 
20/250: 0.905 | 0.762 | 0.619 | 0.571 | 0.476 | 
21/250: 0.909 | 0.773 | 0.636 | 0.591 | 0.455 | 
22/250: 0.913 | 0.783 | 0.652 | 0.565 | 0.435 | 
23/250: 0.917 | 0.792 | 0.667 | 0.542 | 0.417 | 
24/250: 0.920 | 0.800 | 0.680 | 0.520 | 0.400 | 
25/250: 0.923 | 0.808 | 0.692 | 0.538 | 0.423 | 
26/250: 0.889 | 0.778 | 0.667 | 0.519 | 0.407 | 
27/250: 0.893 | 0.786 | 0.679 | 0.536 | 0.429 | 
28/250: 0.897 | 0.793 | 0.690 | 0.552 | 0.448 | 
29/250: 0.900 | 0.800 | 0.700 | 0.567 | 0.467 | 
30/250: 0.903 | 0.806 | 0.710 | 0.581 | 0.452 | 
31/250: 0.906 | 0.781 | 0.688 | 0.562 | 0.438 | 
32/250: 0.909 | 0.788 | 0.667 | 0.545 | 0.424 | 
33/250: 0.912 | 0.794 | 0.676 | 0.559 | 0.441 | 
34/250: 0.914 | 0.800 | 0.686 | 0.571 | 0.457 | 
35/250: 0.917 | 0.778 | 0.667 | 0.556 | 0.444 | 
36/250: 0.919 | 0.784 | 0.676 | 0.568 | 0.459 | 
37/250: 0.921 | 0.789 | 0.684 | 0.579 | 0.474 | 
38/250: 0.923 | 0.795 | 0.692 | 0.590 | 0.487 | 
39/250: 0.925 | 0.800 | 0.700 | 0.600 | 0.500 | 
40/250: 0.927 | 0.805 | 0.707 | 0.585 | 0.488 | 
41/250: 0.929 | 0.786 | 0.690 | 0.571 | 0.476 | 
42/250: 0.907 | 0.767 | 0.674 | 0.558 | 0.465 | 
43/250: 0.909 | 0.773 | 0.659 | 0.545 | 0.455 | 
44/250: 0.911 | 0.778 | 0.667 | 0.556 | 0.467 | 
45/250: 0.913 | 0.761 | 0.652 | 0.543 | 0.457 | 
46/250: 0.915 | 0.766 | 0.660 | 0.553 | 0.468 | 
47/250: 0.917 | 0.771 | 0.667 | 0.562 | 0.479 | 
48/250: 0.918 | 0.776 | 0.673 | 0.571 | 0.469 | 
49/250: 0.920 | 0.780 | 0.680 | 0.580 | 0.480 | 
50/250: 0.922 | 0.784 | 0.686 | 0.588 | 0.490 | 
51/250: 0.923 | 0.788 | 0.673 | 0.577 | 0.481 | 
