0/250: 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 
1/250: 0.500 | 0.500 | 0.000 | 0.000 | 0.000 | 
2/250: 0.667 | 0.667 | 0.000 | 0.000 | 0.000 | 
3/250: 0.750 | 0.750 | 0.250 | 0.000 | 0.000 | 
4/250: 0.800 | 0.800 | 0.400 | 0.200 | 0.200 | 
5/250: 0.833 | 0.833 | 0.500 | 0.333 | 0.333 | 
6/250: 0.857 | 0.857 | 0.571 | 0.429 | 0.429 | 
7/250: 0.875 | 0.875 | 0.625 | 0.500 | 0.500 | 
8/250: 0.778 | 0.778 | 0.556 | 0.444 | 0.444 | 
9/250: 0.800 | 0.800 | 0.600 | 0.500 | 0.500 | 
10/250: 0.818 | 0.818 | 0.636 | 0.545 | 0.545 | 
11/250: 0.750 | 0.750 | 0.583 | 0.500 | 0.500 | 
12/250: 0.692 | 0.692 | 0.538 | 0.462 | 0.462 | 
13/250: 0.714 | 0.714 | 0.571 | 0.500 | 0.500 | 
14/250: 0.733 | 0.667 | 0.533 | 0.467 | 0.467 | 
15/250: 0.750 | 0.688 | 0.500 | 0.438 | 0.438 | 
16/250: 0.706 | 0.647 | 0.471 | 0.412 | 0.412 | 
17/250: 0.722 | 0.667 | 0.500 | 0.444 | 0.444 | 
18/250: 0.737 | 0.632 | 0.474 | 0.421 | 0.421 | 
19/250: 0.750 | 0.650 | 0.500 | 0.450 | 0.450 | 
20/250: 0.762 | 0.619 | 0.476 | 0.429 | 0.429 | 
21/250: 0.773 | 0.636 | 0.500 | 0.455 | 0.455 | 
22/250: 0.783 | 0.652 | 0.478 | 0.435 | 0.435 | 
23/250: 0.750 | 0.625 | 0.458 | 0.417 | 0.417 | 
24/250: 0.760 | 0.600 | 0.440 | 0.400 | 0.400 | 
25/250: 0.731 | 0.577 | 0.423 | 0.385 | 0.385 | 
26/250: 0.741 | 0.593 | 0.444 | 0.370 | 0.370 | 
27/250: 0.750 | 0.607 | 0.464 | 0.393 | 0.357 | 
28/250: 0.759 | 0.621 | 0.483 | 0.414 | 0.379 | 
29/250: 0.767 | 0.633 | 0.500 | 0.400 | 0.367 | 
30/250: 0.774 | 0.645 | 0.516 | 0.387 | 0.355 | 
31/250: 0.781 | 0.625 | 0.500 | 0.375 | 0.344 | 
32/250: 0.758 | 0.606 | 0.485 | 0.364 | 0.333 | 
33/250: 0.765 | 0.618 | 0.471 | 0.353 | 0.324 | 
34/250: 0.771 | 0.629 | 0.486 | 0.371 | 0.343 | 
35/250: 0.750 | 0.611 | 0.472 | 0.361 | 0.333 | 
36/250: 0.757 | 0.622 | 0.486 | 0.378 | 0.351 | 
37/250: 0.763 | 0.632 | 0.500 | 0.395 | 0.368 | 
38/250: 0.769 | 0.615 | 0.487 | 0.385 | 0.359 | 
39/250: 0.750 | 0.600 | 0.475 | 0.375 | 0.350 | 
40/250: 0.732 | 0.585 | 0.463 | 0.366 | 0.341 | 
41/250: 0.738 | 0.595 | 0.476 | 0.381 | 0.357 | 
42/250: 0.744 | 0.605 | 0.488 | 0.395 | 0.372 | 
43/250: 0.727 | 0.591 | 0.477 | 0.386 | 0.364 | 
44/250: 0.733 | 0.578 | 0.467 | 0.378 | 0.356 | 
45/250: 0.739 | 0.565 | 0.457 | 0.370 | 0.348 | 
46/250: 0.723 | 0.553 | 0.447 | 0.362 | 0.340 | 
47/250: 0.729 | 0.562 | 0.458 | 0.375 | 0.354 | 
48/250: 0.735 | 0.571 | 0.469 | 0.388 | 0.367 | 
49/250: 0.740 | 0.560 | 0.460 | 0.380 | 0.360 | 
50/250: 0.745 | 0.549 | 0.451 | 0.373 | 0.353 | 
51/250: 0.750 | 0.558 | 0.462 | 0.385 | 0.365 | 
52/250: 0.736 | 0.547 | 0.453 | 0.377 | 0.358 | 
53/250: 0.741 | 0.556 | 0.463 | 0.389 | 0.370 | 
54/250: 0.745 | 0.545 | 0.455 | 0.382 | 0.364 | 
55/250: 0.750 | 0.554 | 0.464 | 0.375 | 0.357 | 
56/250: 0.754 | 0.561 | 0.474 | 0.386 | 0.368 | 
57/250: 0.759 | 0.569 | 0.483 | 0.397 | 0.362 | 
