750:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
751:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 50.0% | 6/5 : 450.0% ||
752:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 66.7% | 5/5 : 33.3% | 6/5 : 400.0% ||
753:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 75.0% | 5/5 : 50.0% | 6/5 : 425.0% ||
754:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 80.0% | 5/5 : 60.0% | 6/5 : 440.0% ||
755:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 83.3% | 5/5 : 50.0% | 6/5 : 433.3% ||
756:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 85.7% | 5/5 : 57.1% | 6/5 : 442.9% ||
757:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 87.5% | 5/5 : 62.5% | 6/5 : 450.0% ||
758:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 88.9% | 5/5 : 66.7% | 6/5 : 455.6% ||
759:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 90.0% | 5/5 : 60.0% | 6/5 : 450.0% ||
760:  1/5 : 90.9% | 2/5 : 90.9% | 3/5 : 90.9% | 4/5 : 81.8% | 5/5 : 54.5% | 6/5 : 409.1% ||
761:  1/5 : 91.7% | 2/5 : 91.7% | 3/5 : 91.7% | 4/5 : 83.3% | 5/5 : 58.3% | 6/5 : 416.7% ||
762:  1/5 : 92.3% | 2/5 : 92.3% | 3/5 : 92.3% | 4/5 : 84.6% | 5/5 : 61.5% | 6/5 : 423.1% ||
763:  1/5 : 92.9% | 2/5 : 92.9% | 3/5 : 92.9% | 4/5 : 85.7% | 5/5 : 64.3% | 6/5 : 428.6% ||
764:  1/5 : 93.3% | 2/5 : 93.3% | 3/5 : 86.7% | 4/5 : 80.0% | 5/5 : 60.0% | 6/5 : 413.3% ||
765:  1/5 : 93.8% | 2/5 : 93.8% | 3/5 : 87.5% | 4/5 : 81.2% | 5/5 : 62.5% | 6/5 : 418.8% ||
766:  1/5 : 94.1% | 2/5 : 94.1% | 3/5 : 88.2% | 4/5 : 82.4% | 5/5 : 64.7% | 6/5 : 423.5% ||
767:  1/5 : 94.4% | 2/5 : 94.4% | 3/5 : 88.9% | 4/5 : 83.3% | 5/5 : 66.7% | 6/5 : 427.8% ||
768:  1/5 : 94.7% | 2/5 : 94.7% | 3/5 : 89.5% | 4/5 : 84.2% | 5/5 : 68.4% | 6/5 : 431.6% ||
769:  1/5 : 95.0% | 2/5 : 95.0% | 3/5 : 90.0% | 4/5 : 85.0% | 5/5 : 70.0% | 6/5 : 435.0% ||
770:  1/5 : 95.2% | 2/5 : 95.2% | 3/5 : 90.5% | 4/5 : 85.7% | 5/5 : 71.4% | 6/5 : 438.1% ||
771:  1/5 : 95.5% | 2/5 : 95.5% | 3/5 : 90.9% | 4/5 : 86.4% | 5/5 : 68.2% | 6/5 : 436.4% ||
772:  1/5 : 91.3% | 2/5 : 91.3% | 3/5 : 87.0% | 4/5 : 82.6% | 5/5 : 65.2% | 6/5 : 417.4% ||
773:  1/5 : 91.7% | 2/5 : 91.7% | 3/5 : 87.5% | 4/5 : 83.3% | 5/5 : 66.7% | 6/5 : 420.8% ||
774:  1/5 : 92.0% | 2/5 : 92.0% | 3/5 : 88.0% | 4/5 : 84.0% | 5/5 : 68.0% | 6/5 : 424.0% ||
775:  1/5 : 92.3% | 2/5 : 92.3% | 3/5 : 88.5% | 4/5 : 84.6% | 5/5 : 69.2% | 6/5 : 426.9% ||
776:  1/5 : 92.6% | 2/5 : 92.6% | 3/5 : 88.9% | 4/5 : 85.2% | 5/5 : 70.4% | 6/5 : 429.6% ||
777:  1/5 : 92.9% | 2/5 : 92.9% | 3/5 : 89.3% | 4/5 : 85.7% | 5/5 : 71.4% | 6/5 : 432.1% ||
778:  1/5 : 93.1% | 2/5 : 93.1% | 3/5 : 89.7% | 4/5 : 86.2% | 5/5 : 72.4% | 6/5 : 434.5% ||
779:  1/5 : 93.3% | 2/5 : 90.0% | 3/5 : 86.7% | 4/5 : 83.3% | 5/5 : 70.0% | 6/5 : 423.3% ||
780:  1/5 : 93.5% | 2/5 : 90.3% | 3/5 : 87.1% | 4/5 : 83.9% | 5/5 : 71.0% | 6/5 : 425.8% ||
781:  1/5 : 93.8% | 2/5 : 90.6% | 3/5 : 87.5% | 4/5 : 84.4% | 5/5 : 68.8% | 6/5 : 425.0% ||
782:  1/5 : 93.9% | 2/5 : 90.9% | 3/5 : 87.9% | 4/5 : 84.8% | 5/5 : 69.7% | 6/5 : 427.3% ||
