0:  1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1:  1/5 : 100.0% | 2/5 : 50.0% | 3/5 : 50.0% | 4/5 : 50.0% | 5/5 : 50.0% | 6/5 : 300.0% ||
2:  1/5 : 100.0% | 2/5 : 66.7% | 3/5 : 66.7% | 4/5 : 66.7% | 5/5 : 66.7% | 6/5 : 366.7% ||
3:  1/5 : 75.0% | 2/5 : 50.0% | 3/5 : 50.0% | 4/5 : 50.0% | 5/5 : 50.0% | 6/5 : 275.0% ||
4:  1/5 : 80.0% | 2/5 : 60.0% | 3/5 : 40.0% | 4/5 : 40.0% | 5/5 : 40.0% | 6/5 : 260.0% ||
5:  1/5 : 83.3% | 2/5 : 66.7% | 3/5 : 50.0% | 4/5 : 50.0% | 5/5 : 50.0% | 6/5 : 300.0% ||
6:  1/5 : 85.7% | 2/5 : 71.4% | 3/5 : 57.1% | 4/5 : 57.1% | 5/5 : 57.1% | 6/5 : 328.6% ||
7:  1/5 : 87.5% | 2/5 : 75.0% | 3/5 : 62.5% | 4/5 : 62.5% | 5/5 : 62.5% | 6/5 : 350.0% ||
8:  1/5 : 88.9% | 2/5 : 66.7% | 3/5 : 55.6% | 4/5 : 55.6% | 5/5 : 55.6% | 6/5 : 322.2% ||
9:  1/5 : 90.0% | 2/5 : 70.0% | 3/5 : 60.0% | 4/5 : 60.0% | 5/5 : 60.0% | 6/5 : 340.0% ||
10:  1/5 : 90.9% | 2/5 : 72.7% | 3/5 : 63.6% | 4/5 : 63.6% | 5/5 : 63.6% | 6/5 : 354.5% ||
11:  1/5 : 91.7% | 2/5 : 75.0% | 3/5 : 66.7% | 4/5 : 66.7% | 5/5 : 66.7% | 6/5 : 366.7% ||
12:  1/5 : 92.3% | 2/5 : 76.9% | 3/5 : 69.2% | 4/5 : 69.2% | 5/5 : 69.2% | 6/5 : 376.9% ||
13:  1/5 : 92.9% | 2/5 : 78.6% | 3/5 : 71.4% | 4/5 : 71.4% | 5/5 : 71.4% | 6/5 : 385.7% ||
14:  1/5 : 93.3% | 2/5 : 73.3% | 3/5 : 66.7% | 4/5 : 66.7% | 5/5 : 66.7% | 6/5 : 366.7% ||
15:  1/5 : 93.8% | 2/5 : 75.0% | 3/5 : 68.8% | 4/5 : 68.8% | 5/5 : 68.8% | 6/5 : 375.0% ||
16:  1/5 : 88.2% | 2/5 : 70.6% | 3/5 : 64.7% | 4/5 : 64.7% | 5/5 : 64.7% | 6/5 : 352.9% ||
17:  1/5 : 83.3% | 2/5 : 66.7% | 3/5 : 61.1% | 4/5 : 61.1% | 5/5 : 61.1% | 6/5 : 333.3% ||
18:  1/5 : 84.2% | 2/5 : 63.2% | 3/5 : 57.9% | 4/5 : 57.9% | 5/5 : 57.9% | 6/5 : 321.1% ||
19:  1/5 : 85.0% | 2/5 : 65.0% | 3/5 : 60.0% | 4/5 : 60.0% | 5/5 : 60.0% | 6/5 : 330.0% ||
20:  1/5 : 85.7% | 2/5 : 66.7% | 3/5 : 61.9% | 4/5 : 61.9% | 5/5 : 61.9% | 6/5 : 338.1% ||
21:  1/5 : 86.4% | 2/5 : 68.2% | 3/5 : 63.6% | 4/5 : 63.6% | 5/5 : 63.6% | 6/5 : 345.5% ||
22:  1/5 : 87.0% | 2/5 : 69.6% | 3/5 : 65.2% | 4/5 : 65.2% | 5/5 : 65.2% | 6/5 : 352.2% ||
