policy,task,protocol1_success,protocol1_total,protocol1_rate,protocol1_wilson95_low,protocol1_wilson95_high,official_success,official_total,official_rate,official_wilson95_low,official_wilson95_high,delta_protocol1_minus_official,summary_path
cogact,stack,12,100,0.12,0.06999406437019488,0.19812099426711421,5,24,0.20833333333333334,0.09244825352851857,0.40470453253188665,-0.08833333333333335,results/simplerenv/cogact_base/protocol1_random_positions/protocol1_100_cogact_stack_2045676_0/summary.json
cogact,carrot,38,100,0.38,0.29097599252478734,0.47790244704488916,10,24,0.4166666666666667,0.24467602609811764,0.6116533413477124,-0.03666666666666668,results/simplerenv/cogact_base/protocol1_random_positions/protocol1_100_cogact_carrot_2045676_1/summary.json
cogact,spoon,57,100,0.57,0.47215389549212305,0.6626670147588988,18,24,0.75,0.55100555994846,0.8800063377140499,-0.18000000000000005,results/simplerenv/cogact_base/protocol1_random_positions/protocol1_100_cogact_spoon_2045676_2/summary.json
spatialvla,stack,13,100,0.13,0.07757167427240512,0.20980351440076428,5,24,0.20833333333333334,0.09244825352851857,0.40470453253188665,-0.07833333333333334,results/simplerenv/spatialvla_bridge/protocol1_random_positions/protocol1_100_spatialvla_stack_2045676_3/summary.json
spatialvla,carrot,15,100,0.15,0.09305985283656631,0.23283559590832364,5,24,0.20833333333333334,0.09244825352851857,0.40470453253188665,-0.05833333333333335,results/simplerenv/spatialvla_bridge/protocol1_random_positions/protocol1_100_spatialvla_carrot_2045676_4/summary.json
spatialvla,spoon,10,100,0.1,0.0552291370606751,0.17436566150491345,4,24,0.16666666666666666,0.06678676328632951,0.3585307064969906,-0.06666666666666665,results/simplerenv/spatialvla_bridge/protocol1_random_positions/protocol1_100_spatialvla_spoon_2045676_5/summary.json
xvla,stack,67,100,0.67,0.5730534379509052,0.7543687726587197,13,24,0.5416666666666666,0.3507486535891948,0.72108666268789,0.1283333333333334,results/simplerenv/xvla_widowx/protocol1_random_positions/protocol1_100_xvla_stack_2045676_6/summary.json
xvla,carrot,76,100,0.76,0.6676766365018553,0.8330867444305122,18,24,0.75,0.55100555994846,0.8800063377140499,0.010000000000000009,results/simplerenv/xvla_widowx/protocol1_random_positions/protocol1_100_xvla_carrot_2045676_7/summary.json
xvla,spoon,68,100,0.68,0.5833738138954762,0.7633085267500092,22,24,0.9166666666666666,0.741511978067893,0.9768411847029567,-0.23666666666666658,results/simplerenv/xvla_widowx/protocol1_random_positions/protocol1_100_xvla_spoon_2045676_8/summary.json
cogact,aggregate_3tasks,107,300,0.3566666666666667,0.30458741740255907,0.41237023434847747,33,72,0.4583333333333333,0.34828627057626194,0.5726013271401095,-0.10166666666666663,
spatialvla,aggregate_3tasks,38,300,0.12666666666666668,0.09369224846506602,0.16908117004926165,14,72,0.19444444444444445,0.1195147937945056,0.3003275894588853,-0.06777777777777777,
xvla,aggregate_3tasks,211,300,0.7033333333333334,0.6493365822398648,0.7521886094621532,53,72,0.7361111111111112,0.6242413795382338,0.824062233402328,-0.032777777777777795,
