policy,task,official_episode_id,repeat_id,seed,horizon
dexbotic,eggplant,0,0,21290523,120
dexbotic,eggplant,1,0,21290524,120
dexbotic,eggplant,2,0,21290525,120
dexbotic,eggplant,3,0,21290526,120
dexbotic,eggplant,4,0,21290527,120
dexbotic,eggplant,5,0,21290528,120
dexbotic,eggplant,6,0,21290529,120
dexbotic,eggplant,7,0,21290530,120
dexbotic,eggplant,8,0,21290531,120
dexbotic,eggplant,9,0,21290532,120
dexbotic,eggplant,10,0,21290533,120
dexbotic,eggplant,11,0,21290534,120
dexbotic,eggplant,12,0,21290535,120
dexbotic,eggplant,13,0,21290536,120
dexbotic,eggplant,14,0,21290537,120
dexbotic,eggplant,15,0,21290538,120
dexbotic,eggplant,16,0,21290539,120
dexbotic,eggplant,17,0,21290540,120
dexbotic,eggplant,18,0,21290541,120
dexbotic,eggplant,19,0,21290542,120
dexbotic,eggplant,20,0,21290543,120
dexbotic,eggplant,21,0,21290544,120
dexbotic,eggplant,22,0,21290545,120
dexbotic,eggplant,23,0,21290546,120
dexbotic,eggplant,0,1,21290623,120
dexbotic,eggplant,1,1,21290624,120
dexbotic,eggplant,2,1,21290625,120
dexbotic,eggplant,3,1,21290626,120
dexbotic,eggplant,4,1,21290627,120
dexbotic,eggplant,5,1,21290628,120
dexbotic,eggplant,6,1,21290629,120
dexbotic,eggplant,7,1,21290630,120
dexbotic,eggplant,8,1,21290631,120
dexbotic,eggplant,9,1,21290632,120
dexbotic,eggplant,10,1,21290633,120
dexbotic,eggplant,11,1,21290634,120
dexbotic,eggplant,12,1,21290635,120
dexbotic,eggplant,13,1,21290636,120
dexbotic,eggplant,14,1,21290637,120
dexbotic,eggplant,15,1,21290638,120
dexbotic,eggplant,16,1,21290639,120
dexbotic,eggplant,17,1,21290640,120
dexbotic,eggplant,18,1,21290641,120
dexbotic,eggplant,19,1,21290642,120
dexbotic,eggplant,20,1,21290643,120
dexbotic,eggplant,21,1,21290644,120
dexbotic,eggplant,22,1,21290645,120
dexbotic,eggplant,23,1,21290646,120
dexbotic,eggplant,0,2,21290723,120
dexbotic,eggplant,1,2,21290724,120
dexbotic,eggplant,2,2,21290725,120
dexbotic,eggplant,3,2,21290726,120
dexbotic,eggplant,4,2,21290727,120
dexbotic,eggplant,5,2,21290728,120
dexbotic,eggplant,6,2,21290729,120
dexbotic,eggplant,7,2,21290730,120
dexbotic,eggplant,8,2,21290731,120
dexbotic,eggplant,9,2,21290732,120
dexbotic,eggplant,10,2,21290733,120
dexbotic,eggplant,11,2,21290734,120
dexbotic,eggplant,12,2,21290735,120
dexbotic,eggplant,13,2,21290736,120
dexbotic,eggplant,14,2,21290737,120
dexbotic,eggplant,15,2,21290738,120
dexbotic,eggplant,16,2,21290739,120
dexbotic,eggplant,17,2,21290740,120
dexbotic,eggplant,18,2,21290741,120
dexbotic,eggplant,19,2,21290742,120
dexbotic,eggplant,20,2,21290743,120
dexbotic,eggplant,21,2,21290744,120
dexbotic,eggplant,22,2,21290745,120
dexbotic,eggplant,23,2,21290746,120
dexbotic,eggplant,0,3,21290823,120
dexbotic,eggplant,1,3,21290824,120
dexbotic,eggplant,2,3,21290825,120
dexbotic,eggplant,3,3,21290826,120
dexbotic,eggplant,4,3,21290827,120
dexbotic,eggplant,5,3,21290828,120
dexbotic,eggplant,6,3,21290829,120
dexbotic,eggplant,7,3,21290830,120
dexbotic,eggplant,8,3,21290831,120
dexbotic,eggplant,9,3,21290832,120
dexbotic,eggplant,10,3,21290833,120
dexbotic,eggplant,11,3,21290834,120
dexbotic,eggplant,12,3,21290835,120
dexbotic,eggplant,13,3,21290836,120
dexbotic,eggplant,14,3,21290837,120
dexbotic,eggplant,15,3,21290838,120
dexbotic,eggplant,16,3,21290839,120
dexbotic,eggplant,17,3,21290840,120
dexbotic,eggplant,18,3,21290841,120
dexbotic,eggplant,19,3,21290842,120
dexbotic,eggplant,20,3,21290843,120
dexbotic,eggplant,21,3,21290844,120
dexbotic,eggplant,22,3,21290845,120
dexbotic,eggplant,23,3,21290846,120
dexbotic,eggplant,0,4,21290923,120
dexbotic,eggplant,1,4,21290924,120
dexbotic,eggplant,2,4,21290925,120
dexbotic,eggplant,3,4,21290926,120
dexbotic,eggplant,4,4,21290927,120
dexbotic,eggplant,5,4,21290928,120
dexbotic,eggplant,6,4,21290929,120
dexbotic,eggplant,7,4,21290930,120
dexbotic,eggplant,8,4,21290931,120
dexbotic,eggplant,9,4,21290932,120
dexbotic,eggplant,10,4,21290933,120
dexbotic,eggplant,11,4,21290934,120
dexbotic,eggplant,12,4,21290935,120
dexbotic,eggplant,13,4,21290936,120
dexbotic,eggplant,14,4,21290937,120
dexbotic,eggplant,15,4,21290938,120
dexbotic,eggplant,16,4,21290939,120
dexbotic,eggplant,17,4,21290940,120
dexbotic,eggplant,18,4,21290941,120
dexbotic,eggplant,19,4,21290942,120
dexbotic,eggplant,20,4,21290943,120
dexbotic,eggplant,21,4,21290944,120
dexbotic,eggplant,22,4,21290945,120
dexbotic,eggplant,23,4,21290946,120
dexbotic,eggplant,0,5,21291023,120
dexbotic,eggplant,1,5,21291024,120
dexbotic,eggplant,2,5,21291025,120
dexbotic,eggplant,3,5,21291026,120
dexbotic,eggplant,4,5,21291027,120
dexbotic,eggplant,5,5,21291028,120
dexbotic,eggplant,6,5,21291029,120
dexbotic,eggplant,7,5,21291030,120
dexbotic,eggplant,8,5,21291031,120
dexbotic,eggplant,9,5,21291032,120
dexbotic,eggplant,10,5,21291033,120
dexbotic,eggplant,11,5,21291034,120
dexbotic,eggplant,12,5,21291035,120
dexbotic,eggplant,13,5,21291036,120
dexbotic,eggplant,14,5,21291037,120
dexbotic,eggplant,15,5,21291038,120
dexbotic,eggplant,16,5,21291039,120
dexbotic,eggplant,17,5,21291040,120
dexbotic,eggplant,18,5,21291041,120
dexbotic,eggplant,19,5,21291042,120
dexbotic,eggplant,20,5,21291043,120
dexbotic,eggplant,21,5,21291044,120
dexbotic,eggplant,22,5,21291045,120
dexbotic,eggplant,23,5,21291046,120
dexbotic,eggplant,0,6,21291123,120
dexbotic,eggplant,1,6,21291124,120
dexbotic,eggplant,2,6,21291125,120
dexbotic,eggplant,3,6,21291126,120
dexbotic,eggplant,4,6,21291127,120
dexbotic,eggplant,5,6,21291128,120
dexbotic,eggplant,6,6,21291129,120
dexbotic,eggplant,7,6,21291130,120
dexbotic,eggplant,8,6,21291131,120
dexbotic,eggplant,9,6,21291132,120
dexbotic,eggplant,10,6,21291133,120
dexbotic,eggplant,11,6,21291134,120
dexbotic,eggplant,12,6,21291135,120
dexbotic,eggplant,13,6,21291136,120
dexbotic,eggplant,14,6,21291137,120
dexbotic,eggplant,15,6,21291138,120
dexbotic,eggplant,16,6,21291139,120
dexbotic,eggplant,17,6,21291140,120
dexbotic,eggplant,18,6,21291141,120
dexbotic,eggplant,19,6,21291142,120
dexbotic,eggplant,20,6,21291143,120
dexbotic,eggplant,21,6,21291144,120
dexbotic,eggplant,22,6,21291145,120
dexbotic,eggplant,23,6,21291146,120
dexbotic,eggplant,0,7,21291223,120
dexbotic,eggplant,1,7,21291224,120
dexbotic,eggplant,2,7,21291225,120
dexbotic,eggplant,3,7,21291226,120
dexbotic,eggplant,4,7,21291227,120
