policy,task,official_episode_id,repeat_id,seed,horizon
dexbotic,spoon,0,0,21280523,60
dexbotic,spoon,1,0,21280524,60
dexbotic,spoon,2,0,21280525,60
dexbotic,spoon,3,0,21280526,60
dexbotic,spoon,4,0,21280527,60
dexbotic,spoon,5,0,21280528,60
dexbotic,spoon,6,0,21280529,60
dexbotic,spoon,7,0,21280530,60
dexbotic,spoon,8,0,21280531,60
dexbotic,spoon,9,0,21280532,60
dexbotic,spoon,10,0,21280533,60
dexbotic,spoon,11,0,21280534,60
dexbotic,spoon,12,0,21280535,60
dexbotic,spoon,13,0,21280536,60
dexbotic,spoon,14,0,21280537,60
dexbotic,spoon,15,0,21280538,60
dexbotic,spoon,16,0,21280539,60
dexbotic,spoon,17,0,21280540,60
dexbotic,spoon,18,0,21280541,60
dexbotic,spoon,19,0,21280542,60
dexbotic,spoon,20,0,21280543,60
dexbotic,spoon,21,0,21280544,60
dexbotic,spoon,22,0,21280545,60
dexbotic,spoon,23,0,21280546,60
dexbotic,spoon,0,1,21280623,60
dexbotic,spoon,1,1,21280624,60
dexbotic,spoon,2,1,21280625,60
dexbotic,spoon,3,1,21280626,60
dexbotic,spoon,4,1,21280627,60
dexbotic,spoon,5,1,21280628,60
dexbotic,spoon,6,1,21280629,60
dexbotic,spoon,7,1,21280630,60
dexbotic,spoon,8,1,21280631,60
dexbotic,spoon,9,1,21280632,60
dexbotic,spoon,10,1,21280633,60
dexbotic,spoon,11,1,21280634,60
dexbotic,spoon,12,1,21280635,60
dexbotic,spoon,13,1,21280636,60
dexbotic,spoon,14,1,21280637,60
dexbotic,spoon,15,1,21280638,60
dexbotic,spoon,16,1,21280639,60
dexbotic,spoon,17,1,21280640,60
dexbotic,spoon,18,1,21280641,60
dexbotic,spoon,19,1,21280642,60
dexbotic,spoon,20,1,21280643,60
dexbotic,spoon,21,1,21280644,60
dexbotic,spoon,22,1,21280645,60
dexbotic,spoon,23,1,21280646,60
dexbotic,spoon,0,2,21280723,60
dexbotic,spoon,1,2,21280724,60
dexbotic,spoon,2,2,21280725,60
dexbotic,spoon,3,2,21280726,60
dexbotic,spoon,4,2,21280727,60
dexbotic,spoon,5,2,21280728,60
dexbotic,spoon,6,2,21280729,60
dexbotic,spoon,7,2,21280730,60
dexbotic,spoon,8,2,21280731,60
dexbotic,spoon,9,2,21280732,60
dexbotic,spoon,10,2,21280733,60
dexbotic,spoon,11,2,21280734,60
dexbotic,spoon,12,2,21280735,60
dexbotic,spoon,13,2,21280736,60
dexbotic,spoon,14,2,21280737,60
dexbotic,spoon,15,2,21280738,60
dexbotic,spoon,16,2,21280739,60
dexbotic,spoon,17,2,21280740,60
dexbotic,spoon,18,2,21280741,60
dexbotic,spoon,19,2,21280742,60
dexbotic,spoon,20,2,21280743,60
dexbotic,spoon,21,2,21280744,60
dexbotic,spoon,22,2,21280745,60
dexbotic,spoon,23,2,21280746,60
dexbotic,spoon,0,3,21280823,60
dexbotic,spoon,1,3,21280824,60
dexbotic,spoon,2,3,21280825,60
dexbotic,spoon,3,3,21280826,60
dexbotic,spoon,4,3,21280827,60
dexbotic,spoon,5,3,21280828,60
dexbotic,spoon,6,3,21280829,60
dexbotic,spoon,7,3,21280830,60
dexbotic,spoon,8,3,21280831,60
dexbotic,spoon,9,3,21280832,60
dexbotic,spoon,10,3,21280833,60
dexbotic,spoon,11,3,21280834,60
dexbotic,spoon,12,3,21280835,60
dexbotic,spoon,13,3,21280836,60
dexbotic,spoon,14,3,21280837,60
dexbotic,spoon,15,3,21280838,60
dexbotic,spoon,16,3,21280839,60
dexbotic,spoon,17,3,21280840,60
dexbotic,spoon,18,3,21280841,60
dexbotic,spoon,19,3,21280842,60
dexbotic,spoon,20,3,21280843,60
dexbotic,spoon,21,3,21280844,60
dexbotic,spoon,22,3,21280845,60
dexbotic,spoon,23,3,21280846,60
dexbotic,spoon,0,4,21280923,60
dexbotic,spoon,1,4,21280924,60
dexbotic,spoon,2,4,21280925,60
dexbotic,spoon,3,4,21280926,60
dexbotic,spoon,4,4,21280927,60
dexbotic,spoon,5,4,21280928,60
dexbotic,spoon,6,4,21280929,60
dexbotic,spoon,7,4,21280930,60
dexbotic,spoon,8,4,21280931,60
