policy,task,official_episode_id,repeat_id,seed,horizon
dexbotic,stack,0,0,21260523,60
dexbotic,stack,1,0,21260524,60
dexbotic,stack,2,0,21260525,60
dexbotic,stack,3,0,21260526,60
dexbotic,stack,4,0,21260527,60
dexbotic,stack,5,0,21260528,60
dexbotic,stack,6,0,21260529,60
dexbotic,stack,7,0,21260530,60
dexbotic,stack,8,0,21260531,60
dexbotic,stack,9,0,21260532,60
dexbotic,stack,10,0,21260533,60
dexbotic,stack,11,0,21260534,60
dexbotic,stack,12,0,21260535,60
dexbotic,stack,13,0,21260536,60
dexbotic,stack,14,0,21260537,60
dexbotic,stack,15,0,21260538,60
dexbotic,stack,16,0,21260539,60
dexbotic,stack,17,0,21260540,60
dexbotic,stack,18,0,21260541,60
dexbotic,stack,19,0,21260542,60
dexbotic,stack,20,0,21260543,60
dexbotic,stack,21,0,21260544,60
dexbotic,stack,22,0,21260545,60
dexbotic,stack,23,0,21260546,60
dexbotic,stack,0,1,21260623,60
dexbotic,stack,1,1,21260624,60
dexbotic,stack,2,1,21260625,60
dexbotic,stack,3,1,21260626,60
dexbotic,stack,4,1,21260627,60
dexbotic,stack,5,1,21260628,60
dexbotic,stack,6,1,21260629,60
dexbotic,stack,7,1,21260630,60
dexbotic,stack,8,1,21260631,60
dexbotic,stack,9,1,21260632,60
dexbotic,stack,10,1,21260633,60
dexbotic,stack,11,1,21260634,60
dexbotic,stack,12,1,21260635,60
dexbotic,stack,13,1,21260636,60
dexbotic,stack,14,1,21260637,60
dexbotic,stack,15,1,21260638,60
dexbotic,stack,16,1,21260639,60
dexbotic,stack,17,1,21260640,60
dexbotic,stack,18,1,21260641,60
dexbotic,stack,19,1,21260642,60
dexbotic,stack,20,1,21260643,60
dexbotic,stack,21,1,21260644,60
dexbotic,stack,22,1,21260645,60
dexbotic,stack,23,1,21260646,60
dexbotic,stack,0,2,21260723,60
dexbotic,stack,1,2,21260724,60
dexbotic,stack,2,2,21260725,60
dexbotic,stack,3,2,21260726,60
dexbotic,stack,4,2,21260727,60
dexbotic,stack,5,2,21260728,60
dexbotic,stack,6,2,21260729,60
dexbotic,stack,7,2,21260730,60
dexbotic,stack,8,2,21260731,60
dexbotic,stack,9,2,21260732,60
dexbotic,stack,10,2,21260733,60
dexbotic,stack,11,2,21260734,60
dexbotic,stack,12,2,21260735,60
dexbotic,stack,13,2,21260736,60
dexbotic,stack,14,2,21260737,60
dexbotic,stack,15,2,21260738,60
dexbotic,stack,16,2,21260739,60
dexbotic,stack,17,2,21260740,60
dexbotic,stack,18,2,21260741,60
dexbotic,stack,19,2,21260742,60
dexbotic,stack,20,2,21260743,60
dexbotic,stack,21,2,21260744,60
dexbotic,stack,22,2,21260745,60
dexbotic,stack,23,2,21260746,60
dexbotic,stack,0,3,21260823,60
dexbotic,stack,1,3,21260824,60
dexbotic,stack,2,3,21260825,60
dexbotic,stack,3,3,21260826,60
dexbotic,stack,4,3,21260827,60
dexbotic,stack,5,3,21260828,60
dexbotic,stack,6,3,21260829,60
dexbotic,stack,7,3,21260830,60
dexbotic,stack,8,3,21260831,60
dexbotic,stack,9,3,21260832,60
dexbotic,stack,10,3,21260833,60
dexbotic,stack,11,3,21260834,60
dexbotic,stack,12,3,21260835,60
dexbotic,stack,13,3,21260836,60
dexbotic,stack,14,3,21260837,60
dexbotic,stack,15,3,21260838,60
dexbotic,stack,16,3,21260839,60
dexbotic,stack,17,3,21260840,60
dexbotic,stack,18,3,21260841,60
dexbotic,stack,19,3,21260842,60
dexbotic,stack,20,3,21260843,60
dexbotic,stack,21,3,21260844,60
dexbotic,stack,22,3,21260845,60
dexbotic,stack,23,3,21260846,60
dexbotic,stack,0,4,21260923,60
dexbotic,stack,1,4,21260924,60
dexbotic,stack,2,4,21260925,60
dexbotic,stack,3,4,21260926,60
dexbotic,stack,4,4,21260927,60
dexbotic,stack,5,4,21260928,60
dexbotic,stack,6,4,21260929,60
dexbotic,stack,7,4,21260930,60
dexbotic,stack,8,4,21260931,60
dexbotic,stack,9,4,21260932,60
dexbotic,stack,10,4,21260933,60
dexbotic,stack,11,4,21260934,60
dexbotic,stack,12,4,21260935,60
dexbotic,stack,13,4,21260936,60
dexbotic,stack,14,4,21260937,60
dexbotic,stack,15,4,21260938,60
dexbotic,stack,16,4,21260939,60
dexbotic,stack,17,4,21260940,60
dexbotic,stack,18,4,21260941,60
dexbotic,stack,19,4,21260942,60
dexbotic,stack,20,4,21260943,60
dexbotic,stack,21,4,21260944,60
dexbotic,stack,22,4,21260945,60
dexbotic,stack,23,4,21260946,60
dexbotic,stack,0,5,21261023,60
dexbotic,stack,1,5,21261024,60
dexbotic,stack,2,5,21261025,60
dexbotic,stack,3,5,21261026,60
dexbotic,stack,4,5,21261027,60
dexbotic,stack,5,5,21261028,60
dexbotic,stack,6,5,21261029,60
dexbotic,stack,7,5,21261030,60
dexbotic,stack,8,5,21261031,60
dexbotic,stack,9,5,21261032,60
dexbotic,stack,10,5,21261033,60
dexbotic,stack,11,5,21261034,60
dexbotic,stack,12,5,21261035,60
dexbotic,stack,13,5,21261036,60
dexbotic,stack,14,5,21261037,60
dexbotic,stack,15,5,21261038,60
dexbotic,stack,16,5,21261039,60
dexbotic,stack,17,5,21261040,60
dexbotic,stack,18,5,21261041,60
dexbotic,stack,19,5,21261042,60
dexbotic,stack,20,5,21261043,60
dexbotic,stack,21,5,21261044,60
dexbotic,stack,22,5,21261045,60
dexbotic,stack,23,5,21261046,60
dexbotic,stack,0,6,21261123,60
dexbotic,stack,1,6,21261124,60
dexbotic,stack,2,6,21261125,60
dexbotic,stack,3,6,21261126,60
dexbotic,stack,4,6,21261127,60
dexbotic,stack,5,6,21261128,60
dexbotic,stack,6,6,21261129,60
dexbotic,stack,7,6,21261130,60
dexbotic,stack,8,6,21261131,60
dexbotic,stack,9,6,21261132,60
dexbotic,stack,10,6,21261133,60
dexbotic,stack,11,6,21261134,60
dexbotic,stack,12,6,21261135,60
dexbotic,stack,13,6,21261136,60
dexbotic,stack,14,6,21261137,60
dexbotic,stack,15,6,21261138,60
dexbotic,stack,16,6,21261139,60
dexbotic,stack,17,6,21261140,60
dexbotic,stack,18,6,21261141,60
dexbotic,stack,19,6,21261142,60
dexbotic,stack,20,6,21261143,60
dexbotic,stack,21,6,21261144,60
