policy,task,official_episode_id,repeat_id,seed,horizon,env_name,scene,robot,rgb_overlay_path,robot_init_x,robot_init_y,obj_variation_mode,obj_episode_start,obj_episode_end
InternVLA-M1,carrot,0,0,20270523,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,0,1
InternVLA-M1,carrot,1,0,20270524,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,1,2
InternVLA-M1,carrot,2,0,20270525,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,2,3
InternVLA-M1,carrot,3,0,20270526,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,3,4
InternVLA-M1,carrot,4,0,20270527,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,4,5
InternVLA-M1,carrot,5,0,20270528,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,5,6
InternVLA-M1,carrot,6,0,20270529,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,6,7
InternVLA-M1,carrot,7,0,20270530,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,7,8
InternVLA-M1,carrot,8,0,20270531,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,8,9
InternVLA-M1,carrot,9,0,20270532,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,9,10
InternVLA-M1,carrot,10,0,20270533,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,10,11
InternVLA-M1,carrot,11,0,20270534,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,11,12
InternVLA-M1,carrot,12,0,20270535,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,12,13
InternVLA-M1,carrot,13,0,20270536,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,13,14
InternVLA-M1,carrot,14,0,20270537,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,14,15
InternVLA-M1,carrot,15,0,20270538,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,15,16
InternVLA-M1,carrot,16,0,20270539,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,16,17
InternVLA-M1,carrot,17,0,20270540,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,17,18
InternVLA-M1,carrot,18,0,20270541,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,18,19
InternVLA-M1,carrot,19,0,20270542,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,19,20
InternVLA-M1,carrot,20,0,20270543,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,20,21
InternVLA-M1,carrot,21,0,20270544,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,21,22
InternVLA-M1,carrot,22,0,20270545,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,22,23
InternVLA-M1,carrot,23,0,20270546,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,23,24
InternVLA-M1,carrot,0,1,20270547,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,0,1
InternVLA-M1,carrot,1,1,20270548,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,1,2
InternVLA-M1,carrot,2,1,20270549,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,2,3
InternVLA-M1,carrot,3,1,20270550,60,PutCarrotOnPlateInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,3,4
