policy,task,official_episode_id,repeat_id,seed,horizon,env_name,scene,robot,rgb_overlay_path,robot_init_x,robot_init_y,obj_variation_mode,obj_episode_start,obj_episode_end
InternVLA-M1,stack,0,0,20260523,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,0,1
InternVLA-M1,stack,1,0,20260524,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,1,2
InternVLA-M1,stack,2,0,20260525,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,2,3
InternVLA-M1,stack,3,0,20260526,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,3,4
InternVLA-M1,stack,4,0,20260527,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,4,5
InternVLA-M1,stack,5,0,20260528,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,5,6
InternVLA-M1,stack,6,0,20260529,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,6,7
InternVLA-M1,stack,7,0,20260530,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,7,8
InternVLA-M1,stack,8,0,20260531,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,8,9
InternVLA-M1,stack,9,0,20260532,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,9,10
InternVLA-M1,stack,10,0,20260533,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,10,11
InternVLA-M1,stack,11,0,20260534,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,11,12
InternVLA-M1,stack,12,0,20260535,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,12,13
InternVLA-M1,stack,13,0,20260536,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,13,14
InternVLA-M1,stack,14,0,20260537,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,14,15
InternVLA-M1,stack,15,0,20260538,60,StackGreenCubeOnYellowCubeBakedTexInScene-v0,bridge_table_1_v1,widowx,/share/data/ripl/tianchong/projects/InternVLA-M1/cache/Projects/SimplerEnv/ManiSkill2_real2sim/data/real_inpainting/bridge_real_eval_1.png,0.147,0.028,episode,15,16
