policy,task,official_episode_id,repeat_id,seed,horizon
xvla,carrot,0,0,20270523,60
xvla,carrot,1,0,20270524,60
xvla,carrot,2,0,20270525,60
xvla,carrot,3,0,20270526,60
xvla,carrot,4,0,20270527,60
xvla,carrot,5,0,20270528,60
xvla,carrot,6,0,20270529,60
xvla,carrot,7,0,20270530,60
xvla,carrot,8,0,20270531,60
xvla,carrot,9,0,20270532,60
xvla,carrot,10,0,20270533,60
xvla,carrot,11,0,20270534,60
xvla,carrot,12,0,20270535,60
xvla,carrot,13,0,20270536,60
xvla,carrot,14,0,20270537,60
xvla,carrot,15,0,20270538,60
xvla,carrot,16,0,20270539,60
xvla,carrot,17,0,20270540,60
xvla,carrot,18,0,20270541,60
xvla,carrot,19,0,20270542,60
xvla,carrot,20,0,20270543,60
xvla,carrot,21,0,20270544,60
xvla,carrot,22,0,20270545,60
xvla,carrot,23,0,20270546,60
xvla,carrot,0,1,20270623,60
xvla,carrot,1,1,20270624,60
xvla,carrot,2,1,20270625,60
xvla,carrot,3,1,20270626,60
xvla,carrot,4,1,20270627,60
xvla,carrot,5,1,20270628,60
xvla,carrot,6,1,20270629,60
xvla,carrot,7,1,20270630,60
xvla,carrot,8,1,20270631,60
xvla,carrot,9,1,20270632,60
xvla,carrot,10,1,20270633,60
xvla,carrot,11,1,20270634,60
xvla,carrot,12,1,20270635,60
xvla,carrot,13,1,20270636,60
xvla,carrot,14,1,20270637,60
xvla,carrot,15,1,20270638,60
xvla,carrot,16,1,20270639,60
xvla,carrot,17,1,20270640,60
xvla,carrot,18,1,20270641,60
xvla,carrot,19,1,20270642,60
xvla,carrot,20,1,20270643,60
xvla,carrot,21,1,20270644,60
xvla,carrot,22,1,20270645,60
xvla,carrot,23,1,20270646,60
xvla,carrot,0,2,20270723,60
xvla,carrot,1,2,20270724,60
xvla,carrot,2,2,20270725,60
xvla,carrot,3,2,20270726,60
xvla,carrot,4,2,20270727,60
xvla,carrot,5,2,20270728,60
xvla,carrot,6,2,20270729,60
xvla,carrot,7,2,20270730,60
xvla,carrot,8,2,20270731,60
xvla,carrot,9,2,20270732,60
xvla,carrot,10,2,20270733,60
xvla,carrot,11,2,20270734,60
xvla,carrot,12,2,20270735,60
xvla,carrot,13,2,20270736,60
xvla,carrot,14,2,20270737,60
xvla,carrot,15,2,20270738,60
xvla,carrot,16,2,20270739,60
xvla,carrot,17,2,20270740,60
xvla,carrot,18,2,20270741,60
xvla,carrot,19,2,20270742,60
xvla,carrot,20,2,20270743,60
xvla,carrot,21,2,20270744,60
xvla,carrot,22,2,20270745,60
xvla,carrot,23,2,20270746,60
xvla,carrot,0,3,20270823,60
xvla,carrot,1,3,20270824,60
xvla,carrot,2,3,20270825,60
xvla,carrot,3,3,20270826,60
xvla,carrot,4,3,20270827,60
xvla,carrot,5,3,20270828,60
xvla,carrot,6,3,20270829,60
xvla,carrot,7,3,20270830,60
xvla,carrot,8,3,20270831,60
xvla,carrot,9,3,20270832,60
xvla,carrot,10,3,20270833,60
xvla,carrot,11,3,20270834,60
xvla,carrot,12,3,20270835,60
xvla,carrot,13,3,20270836,60
xvla,carrot,14,3,20270837,60
xvla,carrot,15,3,20270838,60
xvla,carrot,16,3,20270839,60
xvla,carrot,17,3,20270840,60
xvla,carrot,18,3,20270841,60
xvla,carrot,19,3,20270842,60
xvla,carrot,20,3,20270843,60
xvla,carrot,21,3,20270844,60
xvla,carrot,22,3,20270845,60
xvla,carrot,23,3,20270846,60
xvla,carrot,0,4,20270923,60
xvla,carrot,1,4,20270924,60
xvla,carrot,2,4,20270925,60
xvla,carrot,3,4,20270926,60
xvla,carrot,4,4,20270927,60
xvla,carrot,5,4,20270928,60
xvla,carrot,6,4,20270929,60
xvla,carrot,7,4,20270930,60
xvla,carrot,8,4,20270931,60
xvla,carrot,9,4,20270932,60
xvla,carrot,10,4,20270933,60
xvla,carrot,11,4,20270934,60
xvla,carrot,12,4,20270935,60
xvla,carrot,13,4,20270936,60
xvla,carrot,14,4,20270937,60
xvla,carrot,15,4,20270938,60
xvla,carrot,16,4,20270939,60
xvla,carrot,17,4,20270940,60
xvla,carrot,18,4,20270941,60
xvla,carrot,19,4,20270942,60
xvla,carrot,20,4,20270943,60
xvla,carrot,21,4,20270944,60
xvla,carrot,22,4,20270945,60
xvla,carrot,23,4,20270946,60
xvla,carrot,0,5,20271023,60
xvla,carrot,1,5,20271024,60
xvla,carrot,2,5,20271025,60
xvla,carrot,3,5,20271026,60
xvla,carrot,4,5,20271027,60
xvla,carrot,5,5,20271028,60
xvla,carrot,6,5,20271029,60
xvla,carrot,7,5,20271030,60
xvla,carrot,8,5,20271031,60
xvla,carrot,9,5,20271032,60
xvla,carrot,10,5,20271033,60
