policy,task,official_episode_id,repeat_id,seed,success,steps,error,timeout,horizon,job_id,video_path
xvla,carrot,0,0,20270523,1,26,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_0/widowx_carrot_on_plate_0_1.00.mp4
xvla,carrot,1,0,20270524,0,60,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_1/widowx_carrot_on_plate_1_0.00.mp4
xvla,carrot,2,0,20270525,1,27,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_2/widowx_carrot_on_plate_2_1.00.mp4
xvla,carrot,3,0,20270526,0,60,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_3/widowx_carrot_on_plate_3_0.00.mp4
xvla,carrot,4,0,20270527,1,26,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_4/widowx_carrot_on_plate_4_1.00.mp4
xvla,carrot,5,0,20270528,0,60,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_5/widowx_carrot_on_plate_5_0.00.mp4
xvla,carrot,6,0,20270529,1,25,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_6/widowx_carrot_on_plate_6_1.00.mp4
xvla,carrot,7,0,20270530,0,60,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_7/widowx_carrot_on_plate_7_0.00.mp4
xvla,carrot,8,0,20270531,1,26,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_8/widowx_carrot_on_plate_8_1.00.mp4
xvla,carrot,9,0,20270532,0,60,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_9/widowx_carrot_on_plate_9_0.00.mp4
xvla,carrot,10,0,20270533,1,24,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_10/widowx_carrot_on_plate_10_1.00.mp4
xvla,carrot,11,0,20270534,0,60,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_11/widowx_carrot_on_plate_11_0.00.mp4
xvla,carrot,12,0,20270535,1,26,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_12/widowx_carrot_on_plate_12_1.00.mp4
xvla,carrot,13,0,20270536,1,28,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_13/widowx_carrot_on_plate_13_1.00.mp4
xvla,carrot,14,0,20270537,1,29,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_14/widowx_carrot_on_plate_14_1.00.mp4
xvla,carrot,15,0,20270538,0,60,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_15/widowx_carrot_on_plate_15_0.00.mp4
xvla,carrot,16,0,20270539,1,26,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_16/widowx_carrot_on_plate_16_1.00.mp4
xvla,carrot,17,0,20270540,1,30,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_17/widowx_carrot_on_plate_17_1.00.mp4
xvla,carrot,18,0,20270541,1,27,,0,60,2063842,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/carrot/episodes/repeat_0/episode_18/widowx_carrot_on_plate_18_1.00.mp4
