policy,task,official_episode_id,repeat_id,seed,horizon
xvla,eggplant,0,0,20290523,120
xvla,eggplant,1,0,20290524,120
xvla,eggplant,2,0,20290525,120
xvla,eggplant,3,0,20290526,120
xvla,eggplant,4,0,20290527,120
xvla,eggplant,5,0,20290528,120
xvla,eggplant,6,0,20290529,120
xvla,eggplant,7,0,20290530,120
xvla,eggplant,8,0,20290531,120
xvla,eggplant,9,0,20290532,120
xvla,eggplant,10,0,20290533,120
xvla,eggplant,11,0,20290534,120
xvla,eggplant,12,0,20290535,120
xvla,eggplant,13,0,20290536,120
xvla,eggplant,14,0,20290537,120
xvla,eggplant,15,0,20290538,120
xvla,eggplant,16,0,20290539,120
xvla,eggplant,17,0,20290540,120
xvla,eggplant,18,0,20290541,120
xvla,eggplant,19,0,20290542,120
xvla,eggplant,20,0,20290543,120
xvla,eggplant,21,0,20290544,120
xvla,eggplant,22,0,20290545,120
xvla,eggplant,23,0,20290546,120
xvla,eggplant,0,1,20290623,120
xvla,eggplant,1,1,20290624,120
xvla,eggplant,2,1,20290625,120
xvla,eggplant,3,1,20290626,120
xvla,eggplant,4,1,20290627,120
xvla,eggplant,5,1,20290628,120
xvla,eggplant,6,1,20290629,120
xvla,eggplant,7,1,20290630,120
xvla,eggplant,8,1,20290631,120
xvla,eggplant,9,1,20290632,120
xvla,eggplant,10,1,20290633,120
xvla,eggplant,11,1,20290634,120
xvla,eggplant,12,1,20290635,120
xvla,eggplant,13,1,20290636,120
xvla,eggplant,14,1,20290637,120
xvla,eggplant,15,1,20290638,120
xvla,eggplant,16,1,20290639,120
xvla,eggplant,17,1,20290640,120
xvla,eggplant,18,1,20290641,120
xvla,eggplant,19,1,20290642,120
xvla,eggplant,20,1,20290643,120
xvla,eggplant,21,1,20290644,120
xvla,eggplant,22,1,20290645,120
xvla,eggplant,23,1,20290646,120
xvla,eggplant,0,2,20290723,120
xvla,eggplant,1,2,20290724,120
xvla,eggplant,2,2,20290725,120
xvla,eggplant,3,2,20290726,120
xvla,eggplant,4,2,20290727,120
xvla,eggplant,5,2,20290728,120
xvla,eggplant,6,2,20290729,120
xvla,eggplant,7,2,20290730,120
xvla,eggplant,8,2,20290731,120
xvla,eggplant,9,2,20290732,120
xvla,eggplant,10,2,20290733,120
xvla,eggplant,11,2,20290734,120
xvla,eggplant,12,2,20290735,120
xvla,eggplant,13,2,20290736,120
xvla,eggplant,14,2,20290737,120
xvla,eggplant,15,2,20290738,120
xvla,eggplant,16,2,20290739,120
xvla,eggplant,17,2,20290740,120
xvla,eggplant,18,2,20290741,120
xvla,eggplant,19,2,20290742,120
xvla,eggplant,20,2,20290743,120
xvla,eggplant,21,2,20290744,120
xvla,eggplant,22,2,20290745,120
xvla,eggplant,23,2,20290746,120
xvla,eggplant,0,3,20290823,120
xvla,eggplant,1,3,20290824,120
xvla,eggplant,2,3,20290825,120
xvla,eggplant,3,3,20290826,120
xvla,eggplant,4,3,20290827,120
xvla,eggplant,5,3,20290828,120
xvla,eggplant,6,3,20290829,120
xvla,eggplant,7,3,20290830,120
xvla,eggplant,8,3,20290831,120
xvla,eggplant,9,3,20290832,120
xvla,eggplant,10,3,20290833,120
