policy,task,official_episode_id,repeat_id,seed,success,steps,error,timeout,horizon,job_id,video_path
xvla,eggplant,0,0,20290523,0,120,,0,120,2063844,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/eggplant/episodes/repeat_0/episode_0/widowx_put_eggplant_in_basket_0_0.00.mp4
xvla,eggplant,1,0,20290524,1,30,,0,120,2063844,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/eggplant/episodes/repeat_0/episode_1/widowx_put_eggplant_in_basket_1_1.00.mp4
xvla,eggplant,2,0,20290525,0,120,,0,120,2063844,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/eggplant/episodes/repeat_0/episode_2/widowx_put_eggplant_in_basket_2_0.00.mp4
xvla,eggplant,3,0,20290526,1,30,,0,120,2063844,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/eggplant/episodes/repeat_0/episode_3/widowx_put_eggplant_in_basket_3_1.00.mp4
xvla,eggplant,4,0,20290527,1,30,,0,120,2063844,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/eggplant/episodes/repeat_0/episode_4/widowx_put_eggplant_in_basket_4_1.00.mp4
xvla,eggplant,5,0,20290528,0,120,,0,120,2063844,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/eggplant/episodes/repeat_0/episode_5/widowx_put_eggplant_in_basket_5_0.00.mp4
xvla,eggplant,6,0,20290529,1,30,,0,120,2063844,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/eggplant/episodes/repeat_0/episode_6/widowx_put_eggplant_in_basket_6_1.00.mp4
xvla,eggplant,7,0,20290530,1,30,,0,120,2063844,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/eggplant/episodes/repeat_0/episode_7/widowx_put_eggplant_in_basket_7_1.00.mp4
xvla,eggplant,8,0,20290531,1,89,,0,120,2063844,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/eggplant/episodes/repeat_0/episode_8/widowx_put_eggplant_in_basket_8_1.00.mp4
xvla,eggplant,9,0,20290532,1,30,,0,120,2063844,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/eggplant/episodes/repeat_0/episode_9/widowx_put_eggplant_in_basket_9_1.00.mp4
