policy,task,official_episode_id,repeat_id,seed,horizon
xvla,spoon,0,0,20280523,60
xvla,spoon,1,0,20280524,60
xvla,spoon,2,0,20280525,60
xvla,spoon,3,0,20280526,60
xvla,spoon,4,0,20280527,60
xvla,spoon,5,0,20280528,60
xvla,spoon,6,0,20280529,60
xvla,spoon,7,0,20280530,60
xvla,spoon,8,0,20280531,60
xvla,spoon,9,0,20280532,60
xvla,spoon,10,0,20280533,60
xvla,spoon,11,0,20280534,60
xvla,spoon,12,0,20280535,60
xvla,spoon,13,0,20280536,60
xvla,spoon,14,0,20280537,60
xvla,spoon,15,0,20280538,60
xvla,spoon,16,0,20280539,60
xvla,spoon,17,0,20280540,60
xvla,spoon,18,0,20280541,60
xvla,spoon,19,0,20280542,60
xvla,spoon,20,0,20280543,60
xvla,spoon,21,0,20280544,60
xvla,spoon,22,0,20280545,60
xvla,spoon,23,0,20280546,60
xvla,spoon,0,1,20280623,60
xvla,spoon,1,1,20280624,60
xvla,spoon,2,1,20280625,60
xvla,spoon,3,1,20280626,60
xvla,spoon,4,1,20280627,60
xvla,spoon,5,1,20280628,60
xvla,spoon,6,1,20280629,60
xvla,spoon,7,1,20280630,60
xvla,spoon,8,1,20280631,60
xvla,spoon,9,1,20280632,60
xvla,spoon,10,1,20280633,60
xvla,spoon,11,1,20280634,60
xvla,spoon,12,1,20280635,60
xvla,spoon,13,1,20280636,60
xvla,spoon,14,1,20280637,60
xvla,spoon,15,1,20280638,60
xvla,spoon,16,1,20280639,60
xvla,spoon,17,1,20280640,60
xvla,spoon,18,1,20280641,60
xvla,spoon,19,1,20280642,60
xvla,spoon,20,1,20280643,60
xvla,spoon,21,1,20280644,60
xvla,spoon,22,1,20280645,60
xvla,spoon,23,1,20280646,60
xvla,spoon,0,2,20280723,60
xvla,spoon,1,2,20280724,60
xvla,spoon,2,2,20280725,60
xvla,spoon,3,2,20280726,60
xvla,spoon,4,2,20280727,60
xvla,spoon,5,2,20280728,60
xvla,spoon,6,2,20280729,60
xvla,spoon,7,2,20280730,60
xvla,spoon,8,2,20280731,60
xvla,spoon,9,2,20280732,60
xvla,spoon,10,2,20280733,60
xvla,spoon,11,2,20280734,60
xvla,spoon,12,2,20280735,60
xvla,spoon,13,2,20280736,60
xvla,spoon,14,2,20280737,60
xvla,spoon,15,2,20280738,60
xvla,spoon,16,2,20280739,60
xvla,spoon,17,2,20280740,60
xvla,spoon,18,2,20280741,60
xvla,spoon,19,2,20280742,60
xvla,spoon,20,2,20280743,60
xvla,spoon,21,2,20280744,60
xvla,spoon,22,2,20280745,60
xvla,spoon,23,2,20280746,60
xvla,spoon,0,3,20280823,60
xvla,spoon,1,3,20280824,60
xvla,spoon,2,3,20280825,60
xvla,spoon,3,3,20280826,60
xvla,spoon,4,3,20280827,60
xvla,spoon,5,3,20280828,60
xvla,spoon,6,3,20280829,60
xvla,spoon,7,3,20280830,60
xvla,spoon,8,3,20280831,60
xvla,spoon,9,3,20280832,60
xvla,spoon,10,3,20280833,60
xvla,spoon,11,3,20280834,60
xvla,spoon,12,3,20280835,60
xvla,spoon,13,3,20280836,60
xvla,spoon,14,3,20280837,60
xvla,spoon,15,3,20280838,60
xvla,spoon,16,3,20280839,60
xvla,spoon,17,3,20280840,60
xvla,spoon,18,3,20280841,60
xvla,spoon,19,3,20280842,60
xvla,spoon,20,3,20280843,60
xvla,spoon,21,3,20280844,60
xvla,spoon,22,3,20280845,60
xvla,spoon,23,3,20280846,60
xvla,spoon,0,4,20280923,60
xvla,spoon,1,4,20280924,60
xvla,spoon,2,4,20280925,60
xvla,spoon,3,4,20280926,60
xvla,spoon,4,4,20280927,60
xvla,spoon,5,4,20280928,60
xvla,spoon,6,4,20280929,60
xvla,spoon,7,4,20280930,60
xvla,spoon,8,4,20280931,60
xvla,spoon,9,4,20280932,60
xvla,spoon,10,4,20280933,60
xvla,spoon,11,4,20280934,60
xvla,spoon,12,4,20280935,60
xvla,spoon,13,4,20280936,60
xvla,spoon,14,4,20280937,60
xvla,spoon,15,4,20280938,60
xvla,spoon,16,4,20280939,60
xvla,spoon,17,4,20280940,60
xvla,spoon,18,4,20280941,60
xvla,spoon,19,4,20280942,60
xvla,spoon,20,4,20280943,60
xvla,spoon,21,4,20280944,60
