policy,task,official_episode_id,repeat_id,seed,success,steps,error,timeout,horizon,job_id,video_path
xvla,spoon,0,0,20280523,1,29,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_0/widowx_spoon_on_towel_0_1.00.mp4
xvla,spoon,1,0,20280524,1,39,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_1/widowx_spoon_on_towel_1_1.00.mp4
xvla,spoon,2,0,20280525,1,25,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_2/widowx_spoon_on_towel_2_1.00.mp4
xvla,spoon,3,0,20280526,1,33,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_3/widowx_spoon_on_towel_3_1.00.mp4
xvla,spoon,4,0,20280527,0,60,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_4/widowx_spoon_on_towel_4_0.00.mp4
xvla,spoon,5,0,20280528,1,37,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_5/widowx_spoon_on_towel_5_1.00.mp4
xvla,spoon,6,0,20280529,1,26,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_6/widowx_spoon_on_towel_6_1.00.mp4
xvla,spoon,7,0,20280530,1,31,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_7/widowx_spoon_on_towel_7_1.00.mp4
xvla,spoon,8,0,20280531,1,27,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_8/widowx_spoon_on_towel_8_1.00.mp4
xvla,spoon,9,0,20280532,1,37,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_9/widowx_spoon_on_towel_9_1.00.mp4
xvla,spoon,10,0,20280533,1,24,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_10/widowx_spoon_on_towel_10_1.00.mp4
xvla,spoon,11,0,20280534,0,60,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_11/widowx_spoon_on_towel_11_0.00.mp4
xvla,spoon,12,0,20280535,1,28,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_12/widowx_spoon_on_towel_12_1.00.mp4
xvla,spoon,13,0,20280536,1,33,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_13/widowx_spoon_on_towel_13_1.00.mp4
xvla,spoon,14,0,20280537,1,28,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_14/widowx_spoon_on_towel_14_1.00.mp4
xvla,spoon,15,0,20280538,1,34,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_15/widowx_spoon_on_towel_15_1.00.mp4
xvla,spoon,16,0,20280539,1,28,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_16/widowx_spoon_on_towel_16_1.00.mp4
xvla,spoon,17,0,20280540,1,30,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_17/widowx_spoon_on_towel_17_1.00.mp4
xvla,spoon,18,0,20280541,1,27,,0,60,2063843,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/spoon/episodes/repeat_0/episode_18/widowx_spoon_on_towel_18_1.00.mp4
