policy,task,official_episode_id,repeat_id,seed,success,steps,error,timeout,horizon,job_id,video_path
xvla,stack,0,0,20260523,1,56,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_0/widowx_stack_cube_0_1.00.mp4
xvla,stack,1,0,20260524,1,32,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_1/widowx_stack_cube_1_1.00.mp4
xvla,stack,2,0,20260525,1,31,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_2/widowx_stack_cube_2_1.00.mp4
xvla,stack,3,0,20260526,1,25,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_3/widowx_stack_cube_3_1.00.mp4
xvla,stack,4,0,20260527,1,28,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_4/widowx_stack_cube_4_1.00.mp4
xvla,stack,5,0,20260528,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_5/widowx_stack_cube_5_0.00.mp4
xvla,stack,6,0,20260529,1,37,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_6/widowx_stack_cube_6_1.00.mp4
xvla,stack,7,0,20260530,1,32,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_7/widowx_stack_cube_7_1.00.mp4
xvla,stack,8,0,20260531,1,30,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_8/widowx_stack_cube_8_1.00.mp4
xvla,stack,9,0,20260532,1,30,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_9/widowx_stack_cube_9_1.00.mp4
xvla,stack,10,0,20260533,1,26,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_10/widowx_stack_cube_10_1.00.mp4
xvla,stack,11,0,20260534,1,24,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_11/widowx_stack_cube_11_1.00.mp4
xvla,stack,12,0,20260535,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_12/widowx_stack_cube_12_0.00.mp4
xvla,stack,13,0,20260536,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_13/widowx_stack_cube_13_0.00.mp4
xvla,stack,14,0,20260537,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_14/widowx_stack_cube_14_0.00.mp4
xvla,stack,15,0,20260538,1,39,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_15/widowx_stack_cube_15_1.00.mp4
xvla,stack,16,0,20260539,1,37,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_16/widowx_stack_cube_16_1.00.mp4
xvla,stack,17,0,20260540,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_17/widowx_stack_cube_17_0.00.mp4
xvla,stack,18,0,20260541,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_18/widowx_stack_cube_18_0.00.mp4
xvla,stack,19,0,20260542,1,45,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_19/widowx_stack_cube_19_1.00.mp4
xvla,stack,20,0,20260543,1,35,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_20/widowx_stack_cube_20_1.00.mp4
xvla,stack,21,0,20260544,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_21/widowx_stack_cube_21_0.00.mp4
xvla,stack,22,0,20260545,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_22/widowx_stack_cube_22_0.00.mp4
xvla,stack,23,0,20260546,1,37,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_0/episode_23/widowx_stack_cube_23_1.00.mp4
xvla,stack,0,1,20260623,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_0/widowx_stack_cube_0_0.00.mp4
xvla,stack,1,1,20260624,1,32,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_1/widowx_stack_cube_1_1.00.mp4
xvla,stack,2,1,20260625,1,31,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_2/widowx_stack_cube_2_1.00.mp4
xvla,stack,3,1,20260626,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_3/widowx_stack_cube_3_0.00.mp4
xvla,stack,4,1,20260627,1,29,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_4/widowx_stack_cube_4_1.00.mp4
xvla,stack,5,1,20260628,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_5/widowx_stack_cube_5_0.00.mp4
xvla,stack,6,1,20260629,1,35,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_6/widowx_stack_cube_6_1.00.mp4
xvla,stack,7,1,20260630,1,31,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_7/widowx_stack_cube_7_1.00.mp4
xvla,stack,8,1,20260631,1,29,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_8/widowx_stack_cube_8_1.00.mp4
xvla,stack,9,1,20260632,1,29,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_9/widowx_stack_cube_9_1.00.mp4
xvla,stack,10,1,20260633,1,26,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_10/widowx_stack_cube_10_1.00.mp4
xvla,stack,11,1,20260634,1,23,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_11/widowx_stack_cube_11_1.00.mp4
xvla,stack,12,1,20260635,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_12/widowx_stack_cube_12_0.00.mp4
xvla,stack,13,1,20260636,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_13/widowx_stack_cube_13_0.00.mp4
xvla,stack,14,1,20260637,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_14/widowx_stack_cube_14_0.00.mp4
xvla,stack,15,1,20260638,1,40,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_15/widowx_stack_cube_15_1.00.mp4
xvla,stack,16,1,20260639,1,36,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_16/widowx_stack_cube_16_1.00.mp4
xvla,stack,17,1,20260640,0,60,,0,60,2063841,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/repeated_fixed_grid_288_normal_20260523T232142Z/xvla/stack/episodes/repeat_1/episode_17/widowx_stack_cube_17_0.00.mp4
