/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/envs/simplerenv_xvla_py310/lib/python3.10/site-packages/transformers/utils/hub.py:105: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
2026-05-13 22:04:18.028435: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:9261] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2026-05-13 22:04:18.028483: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:607] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2026-05-13 22:04:18.030130: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1515] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2026-05-13 22:04:18.036758: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-05-13 22:04:18.986553: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Florence2ForConditionalGeneration has generative capabilities, as `prepare_inputs_for_generation` is explicitly overwritten. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
INFO:     Started server process [2606975]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:20260 (Press CTRL+C to quit)
/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/third_party/x_vla/models/modeling_xvla.py:258: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at ../torch/csrc/utils/tensor_numpy.cpp:206.)
  proprio = torch.as_tensor(np.asarray(json_numpy.loads(payload["proprio"])))
🚀 Starting XVLA Inference Server...
🔹 Model Path  : 2toINF/X-VLA-WidowX
🔹 Output Dir  : /share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/xvla_widowx/official_fixed_grid/standard_xvla_carrot24_20260514T030251Z/server
🔹 Device Arg  : cuda
🔹 Port        : 20260
🧠 Using device: cuda

🧩 Loading XVLAProcessor...
✅ XVLAProcessor loaded successfully.

📦 Loading XVLA model from pretrained checkpoint...
✅ Model successfully loaded and moved to device.

⚠️  No SLURM environment detected, defaulting to 0.0.0.0
📝 Server info written to /share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/xvla_widowx/official_fixed_grid/standard_xvla_carrot24_20260514T030251Z/server/info.json

🌐 Launching FastAPI service at http://127.0.0.1:20260 ...
INFO:     127.0.0.1:36362 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42082 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42098 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42108 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42116 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49006 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49022 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49036 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49046 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:53126 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:53140 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:53156 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38270 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38272 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38274 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38288 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60308 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60314 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60316 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60324 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60340 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49484 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49500 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49512 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49524 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42124 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42140 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42154 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42166 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:46000 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:46006 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:46016 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:46028 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50660 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50672 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45810 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45826 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45842 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45848 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:33678 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:33690 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:33704 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:33718 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:33732 - "POST /act HTTP/1.1" 200 OK
