/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/envs/simplerenv_xvla_py310/lib/python3.10/site-packages/transformers/utils/hub.py:105: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
2026-05-13 22:07:56.008796: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:9261] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2026-05-13 22:07:56.008855: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:607] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2026-05-13 22:07:56.010648: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1515] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2026-05-13 22:07:56.017820: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-05-13 22:07:57.238058: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Florence2ForConditionalGeneration has generative capabilities, as `prepare_inputs_for_generation` is explicitly overwritten. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
INFO:     Started server process [2612140]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:20261 (Press CTRL+C to quit)
/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/third_party/x_vla/models/modeling_xvla.py:258: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at ../torch/csrc/utils/tensor_numpy.cpp:206.)
  proprio = torch.as_tensor(np.asarray(json_numpy.loads(payload["proprio"])))
🚀 Starting XVLA Inference Server...
🔹 Model Path  : 2toINF/X-VLA-WidowX
🔹 Output Dir  : /share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/xvla_widowx/official_fixed_grid/standard_xvla_eggplant24_20260514T030251Z/server
🔹 Device Arg  : cuda
🔹 Port        : 20261
🧠 Using device: cuda

🧩 Loading XVLAProcessor...
✅ XVLAProcessor loaded successfully.

📦 Loading XVLA model from pretrained checkpoint...
✅ Model successfully loaded and moved to device.

⚠️  No SLURM environment detected, defaulting to 0.0.0.0
📝 Server info written to /share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/xvla_widowx/official_fixed_grid/standard_xvla_eggplant24_20260514T030251Z/server/info.json

🌐 Launching FastAPI service at http://127.0.0.1:20261 ...
INFO:     127.0.0.1:45720 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:40546 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:40550 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50196 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50204 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50220 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50236 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50712 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50716 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50722 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50726 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50730 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38320 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38336 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38338 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38352 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:56314 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:56324 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:56328 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:56330 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38390 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38406 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38410 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:38426 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42960 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42964 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42974 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42990 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42178 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42192 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42208 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42212 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:59736 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:59740 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:59752 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:59760 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48478 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48482 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48484 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48490 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48502 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:33126 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37936 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37938 - "POST /act HTTP/1.1" 200 OK
