/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/envs/simplerenv_xvla_py310/lib/python3.10/site-packages/transformers/utils/hub.py:105: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
2026-05-13 22:03:53.634871: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:9261] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2026-05-13 22:03:53.634940: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:607] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2026-05-13 22:03:53.636188: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1515] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2026-05-13 22:03:53.641598: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-05-13 22:03:54.630882: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Florence2ForConditionalGeneration has generative capabilities, as `prepare_inputs_for_generation` is explicitly overwritten. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
INFO:     Started server process [2605966]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:20259 (Press CTRL+C to quit)
/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/third_party/x_vla/models/modeling_xvla.py:258: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at ../torch/csrc/utils/tensor_numpy.cpp:206.)
  proprio = torch.as_tensor(np.asarray(json_numpy.loads(payload["proprio"])))
🚀 Starting XVLA Inference Server...
🔹 Model Path  : 2toINF/X-VLA-WidowX
🔹 Output Dir  : /share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/xvla_widowx/official_fixed_grid/standard_xvla_stack24_20260514T030251Z/server
🔹 Device Arg  : cuda
🔹 Port        : 20259
🧠 Using device: cuda

🧩 Loading XVLAProcessor...
✅ XVLAProcessor loaded successfully.

📦 Loading XVLA model from pretrained checkpoint...
✅ Model successfully loaded and moved to device.

⚠️  No SLURM environment detected, defaulting to 0.0.0.0
📝 Server info written to /share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/xvla_widowx/official_fixed_grid/standard_xvla_stack24_20260514T030251Z/server/info.json

🌐 Launching FastAPI service at http://127.0.0.1:20259 ...
INFO:     127.0.0.1:55528 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:55532 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:55544 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45744 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45756 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45766 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45780 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42792 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42804 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37496 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37498 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37508 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37516 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37518 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57940 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57950 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57966 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57982 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57994 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45894 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45900 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45904 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47816 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47826 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47828 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:54838 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:54850 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:54856 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:39738 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:39744 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:39760 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:39772 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37266 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37270 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37274 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37280 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37296 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60058 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60072 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60074 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60084 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60096 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41818 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41820 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41828 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41838 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49824 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49832 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49846 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49862 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:51224 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:51238 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:51248 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60256 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60268 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60284 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60286 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37816 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37818 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37828 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37834 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41060 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41066 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41076 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41082 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41096 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:56134 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:56140 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:56146 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:56148 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42166 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42168 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42184 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:42190 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48858 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48874 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48888 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48896 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50130 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50132 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50138 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50148 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47758 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47766 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47778 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47780 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47792 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43900 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43908 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43918 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43934 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50198 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50202 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:46740 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:46750 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:46752 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57042 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57056 - "POST /act HTTP/1.1" 200 OK
