/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/envs/simplerenv_xvla_py310/lib/python3.10/site-packages/transformers/utils/hub.py:105: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
2026-05-15 12:47:23.926624: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:9261] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2026-05-15 12:47:23.926816: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:607] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2026-05-15 12:47:24.506125: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1515] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2026-05-15 12:47:26.097914: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-05-15 12:47:28.115081: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Florence2ForConditionalGeneration has generative capabilities, as `prepare_inputs_for_generation` is explicitly overwritten. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
INFO:     Started server process [3499816]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:23684 (Press CTRL+C to quit)
/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/third_party/x_vla/models/modeling_xvla.py:258: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at ../torch/csrc/utils/tensor_numpy.cpp:206.)
  proprio = torch.as_tensor(np.asarray(json_numpy.loads(payload["proprio"])))
🚀 Starting XVLA Inference Server...
🔹 Model Path  : 2toINF/X-VLA-WidowX
🔹 Output Dir  : /share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/xvla_widowx/protocol1_random_positions/protocol1_100_xvla_carrot_2045676_7/server
🔹 Device Arg  : cuda
🔹 Port        : 23684
🧠 Using device: cuda

🧩 Loading XVLAProcessor...
✅ XVLAProcessor loaded successfully.

📦 Loading XVLA model from pretrained checkpoint...
✅ Model successfully loaded and moved to device.

⚠️  No SLURM environment detected, defaulting to 0.0.0.0
📝 Server info written to /share/data/ripl/tianchong/projects/Eval_Policies_CoRL/results/simplerenv/xvla_widowx/protocol1_random_positions/protocol1_100_xvla_carrot_2045676_7/server/info.json

🌐 Launching FastAPI service at http://127.0.0.1:23684 ...
INFO:     127.0.0.1:46468 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43658 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43662 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43674 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43688 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:44828 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:44830 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:44832 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:44838 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:55780 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:55794 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:55800 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41290 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41294 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41306 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:36618 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:36628 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:36642 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:40120 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:40126 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:40128 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41750 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41762 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41764 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:34560 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:34570 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:34574 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:34584 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47606 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47620 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:47630 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:58014 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:58030 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:58036 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37002 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37012 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:37016 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:36216 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:36224 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:36232 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:36244 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60068 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60080 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:60094 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49416 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49422 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49438 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:54588 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:54594 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:54598 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48534 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48544 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:48558 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49834 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49836 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:49848 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:44888 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:44902 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:44916 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:34882 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:34890 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:34892 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43784 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43800 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:43812 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41270 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41284 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41294 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41306 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:58394 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:58404 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:58412 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:58418 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:34980 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:34996 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50496 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50508 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:50518 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41102 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41118 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:41124 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57908 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57918 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57928 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:57944 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:39902 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:39908 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:39922 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45380 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45394 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45404 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:45414 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:36284 - "POST /act HTTP/1.1" 200 OK
INFO:     127.0.0.1:36292 - "POST /act HTTP/1.1" 200 OK
